Current,Total Error @ 25 C,Total Error @ operating temp
0.008,1.254,1.266
0.009,1.121,1.131
0.0099,1.013,1.023
0.0109,0.924,0.934
0.0118,0.851,0.86
0.0128,0.788,0.797
0.0138,0.734,0.742
0.0147,0.687,0.695
0.0157,0.645,0.654
0.0166,0.609,0.617
0.0176,0.577,0.585
0.0186,0.548,0.556
0.0195,0.522,0.53
0.0205,0.498,0.507
0.0214,0.477,0.485
0.0224,0.458,0.466
0.0234,0.44,0.448
0.0243,0.423,0.432
0.0253,0.408,0.416
0.0262,0.394,0.402
0.0272,0.381,0.39
0.0282,0.369,0.378
0.0291,0.358,0.366
0.0301,0.347,0.356
0.031,0.337,0.346
0.032,0.328,0.337
0.033,0.32,0.329
0.0339,0.311,0.321
0.0349,0.304,0.313
0.0358,0.296,0.306
0.0368,0.29,0.299
0.0378,0.283,0.293
0.0387,0.277,0.287
0.0397,0.271,0.281
0.0406,0.266,0.276
0.0416,0.26,0.27
0.0426,0.255,0.265
0.0435,0.251,0.261
0.0445,0.246,0.256
0.0454,0.242,0.252
0.0464,0.238,0.248
0.0474,0.234,0.244
0.0483,0.23,0.241
0.0493,0.226,0.237
0.0502,0.223,0.234
0.0512,0.219,0.231
0.0522,0.216,0.228
0.0531,0.213,0.225
0.0541,0.21,0.222
0.055,0.207,0.219
0.056,0.205,0.216
0.057,0.202,0.214
0.0579,0.199,0.211
0.0589,0.197,0.209
0.0598,0.195,0.207
0.0608,0.193,0.205
0.0618,0.19,0.203
0.0627,0.188,0.201
0.0637,0.186,0.199
0.0646,0.184,0.197
0.0656,0.182,0.195
0.0666,0.18,0.193
0.0675,0.179,0.192
0.0685,0.177,0.19
0.0694,0.175,0.188
0.0704,0.174,0.187
0.0714,0.172,0.185
0.0723,0.171,0.184
0.0733,0.169,0.182
0.0742,0.168,0.181
0.0752,0.166,0.18
0.0762,0.165,0.179
0.0771,0.164,0.177
0.0781,0.163,0.176
0.079,0.161,0.175
0.08,0.16,0.174
0.081,0.159,0.173
0.0819,0.158,0.172
0.0829,0.157,0.171
0.0838,0.156,0.17
0.0848,0.155,0.169
0.0858,0.154,0.168
0.0867,0.153,0.167
0.0877,0.152,0.166
0.0886,0.151,0.165
0.0896,0.15,0.165
0.0906,0.149,0.164
0.0915,0.148,0.163
0.0925,0.147,0.162
0.0934,0.146,0.161
0.0944,0.146,0.161
0.0954,0.145,0.16
0.0963,0.144,0.159
0.0973,0.143,0.159
0.0982,0.143,0.158
0.0992,0.142,0.157
0.1002,0.141,0.157
0.1011,0.141,0.156
0.1021,0.14,0.155
0.103,0.139,0.155
0.104,0.139,0.154
0.105,0.138,0.154
0.1059,0.137,0.153
0.1069,0.137,0.153
0.1078,0.136,0.152
0.1088,0.136,0.152
0.1098,0.135,0.151
0.1107,0.135,0.151
0.1117,0.134,0.15
0.1126,0.134,0.15
0.1136,0.133,0.149
0.1146,0.133,0.149
0.1155,0.132,0.148
0.1165,0.132,0.148
0.1174,0.131,0.147
0.1184,0.131,0.147
0.1194,0.131,0.147
0.1203,0.13,0.146
0.1213,0.13,0.146
0.1222,0.129,0.146
0.1232,0.129,0.145
0.1242,0.128,0.145
0.1251,0.128,0.145
0.1261,0.128,0.144
0.127,0.127,0.144
0.128,0.127,0.144
0.129,0.127,0.143
0.1299,0.126,0.143
0.1309,0.126,0.143
0.1318,0.126,0.142
0.1328,0.125,0.142
0.1338,0.125,0.142
0.1347,0.124,0.141
0.1357,0.124,0.141
0.1366,0.124,0.141
0.1376,0.124,0.141
0.1386,0.123,0.14
0.1395,0.123,0.14
0.1405,0.123,0.14
0.1414,0.122,0.14
0.1424,0.122,0.139
0.1434,0.122,0.139
0.1443,0.122,0.139
0.1453,0.121,0.139
0.1462,0.121,0.138
0.1472,0.121,0.138
0.1482,0.121,0.138
0.1491,0.12,0.138
0.1501,0.12,0.137
0.151,0.12,0.137
0.152,0.12,0.137
0.153,0.12,0.137
0.1539,0.119,0.137
0.1549,0.119,0.136
0.1558,0.119,0.136
0.1568,0.119,0.136
0.1578,0.118,0.136
0.1587,0.118,0.136
0.1597,0.118,0.136
0.1606,0.118,0.135
0.1616,0.118,0.135
0.1626,0.117,0.135
0.1635,0.117,0.135
0.1645,0.117,0.135
0.1654,0.117,0.135
0.1664,0.117,0.134
0.1674,0.117,0.134
0.1683,0.116,0.134
0.1693,0.116,0.134
0.1702,0.116,0.134
0.1712,0.116,0.134
0.1722,0.116,0.134
0.1731,0.116,0.133
0.1741,0.115,0.133
0.175,0.115,0.133
0.176,0.115,0.133
0.177,0.115,0.133
0.1779,0.115,0.133
0.1789,0.115,0.133
0.1798,0.114,0.132
0.1808,0.114,0.132
0.1818,0.114,0.132
0.1827,0.114,0.132
0.1837,0.114,0.132
0.1846,0.114,0.132
0.1856,0.114,0.132
0.1866,0.113,0.132
0.1875,0.113,0.132
0.1885,0.113,0.131
0.1894,0.113,0.131
0.1904,0.113,0.131
0.1914,0.113,0.131
0.1923,0.113,0.131
0.1933,0.113,0.131
0.1942,0.112,0.131
0.1952,0.112,0.131
0.1962,0.112,0.131
0.1971,0.112,0.13
0.1981,0.112,0.13
0.199,0.112,0.13
0.2,0.112,0.13
